Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-09-17,buy,4000,NKE,77.77662639117058
2024-09-17,buy,4000,TSLA,229.4499969482422
2024-09-17,buy,400000,BIL,86.32328544371113
2024-09-17,buy,5000,AMZN,186.8500061035156
2024-09-27,buy,50000,BYDDF,11.53909210081509
2024-10-30,buy,50000,AMZN,194.6999969482422
2024-11-13,sell,4000,NKE,74.76316131477441
2025-01-22,buy,50000,WMT,92.88093515421866
2025-02-07,sell,50000,AMZN,232.5
2025-02-11,sell,50000,WMT,101.64703818817893
2025-03-13,buy,50000,XIACY,33.709999084472656
2025-03-13,sell,4000,TSLA,248.1300048828125
2025-03-21,buy,50000,TSLA,234.9900054931641
2025-03-21,sell,50000,XIACY,34.95000076293945
2025-04-03,sell,50000,TSLA,265.2900085449219
2025-04-08,buy,60000,AMZN,185.22999572753903
2025-04-08,buy,60000,MCD,298.5699187957871
2025-04-08,buy,60000,TSLA,245.0
2025-07-16,buy,60000,DIS,118.5578475658927
2025-07-24,sell,60000,DIS,122.02439288122808
2025-07-24,sell,60000,TSLA,310.0
2025-08-01,buy,50000,MCD,299.98652980826387
2025-08-01,buy,10000,TLT,85.64254217412444
2025-08-01,buy,10000,SPY,622.7282752516747
2025-08-04,buy,60000,TSLA,309.0799865722656
2025-08-04,buy,10000,HD,370.3302170409767
2025-08-13,sell,30000,TSLA,341.5
2025-08-13,buy,50000,DIS,113.46233260017918
2025-08-19,sell,50000,DIS,115.71706694359176
2025-08-18,buy,30000,TSLA,329.6199951171875
2025-09-03,sell,10000,HD,400.06808583009183
2025-09-05,sell,50000,MCD,315.47688518693235
2025-11-19,sell,10000,TLT,88.23032404232471
2025-11-19,buy,10000,BIL,90.71333995736296
2025-11-19,buy,10000,RL,326.1741665679789
