Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-05-30,buy,80000,SBUX,74.19585148693606
2024-09-03,buy,80000,WMT,76.42748440602374
2024-10-01,buy,80000,PEP,163.3174066970732
2025-01-08,sell,60000,PEP,139.81287890549586
2025-03-25,buy,16000,9987.HK,399.7834655325907
2025-03-25,buy,300000,6862.HK,15.865900678061417
2025-04-08,buy,9000,PG,157.97473501011004
2025-06-20,sell,300000,6862.HK,14.135070623127628
2025-06-20,sell,80000,SBUX,91.8066232812916
2025-06-20,sell,20000,PEP,127.0326658077684
2025-06-20,sell,16000,9987.HK,329.9627851397681
2025-06-27,buy,10000,COST,978.1590215535916
2025-07-02,sell,9000,PG,157.81360119498524
2025-07-31,buy,10000,COST,921.5153239437004
2025-08-19,sell,20000,COST,975.9042596329735
2025-08-19,sell,80000,WMT,100.75461572112664
2025-08-19,buy,300000,COCO,33.83000183105469
2025-08-28,buy,80000,PEP,145.1073567344016
2025-09-08,buy,100000,MNST,62.31999969482422
2025-09-23,sell,300000,COCO,40.91999816894531
2025-10-20,sell,100000,MNST,70.6500015258789
2025-11-03,sell,80000,PEP,144.4471643059496
2025-11-19,buy,200000,PM,154.1044347777941
2025-12-10,buy,200000,YUMC,46.34000015258789
2025-12-31,sell,200000,YUMC,47.709999084472656
