Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-06-21,buy,23121,MPC,169.33144811282472
2024-06-21,buy,272777,BIL,85.24629974365234
2024-07-08,sell,10933,BIL,85.42522459858138
2024-07-08,buy,5696,MPC,163.920345737129
2024-09-09,sell,54663,BIL,86.21026359246723
2024-09-09,buy,1568627,0883.HK,17.36700472515736
2024-09-23,sell,28817,MPC,158.05912051321266
2024-09-27,buy,272420,BIL,86.45514678955078
2024-12-03,sell,21791,BIL,87.16107824178721
2024-12-03,buy,25243,NEE,74.73864269189822
2025-01-08,sell,25243,NEE,67.90190555726504
2025-01-30,sell,54519,BIL,87.76600148552177
2025-01-30,buy,243546,ET,18.814964037779365
2025-03-04,sell,54514,BIL,88.09728850137007
2025-03-04,buy,44912,XOM,103.51232143892184
2025-03-26,sell,53573,BIL,88.31881559882783
2025-03-26,buy,108952,BKR,44.51889566335132
2025-04-23,sell,76386,BIL,88.5999755859375
2025-04-23,buy,24064,EXE,100.44492591731002
2025-04-23,buy,60543,WMB,57.31543903518907
2025-05-07,sell,243546,ET,15.053310904388187
2025-07-16,buy,31182,BIL,89.43990155033788
2026-01-15,sell,0,AAPL,260.6499938964844
