Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-12-03,buy,450000,MRK,96.3285246548551
2025-01-08,buy,20,UNH,502.1340789966087
2025-04-04,buy,100,TMO,460.2526337890322
2025-04-08,buy,100,TMO,449.9503388136265
2025-04-09,buy,100,TMO,413.5183211209255
2025-04-10,sell,20,UNH,568.7141950378262
2025-04-25,buy,282,TMO,424.9774727168643
2025-04-25,buy,100,ABBV,182.719702121544
2025-06-11,sell,1000,MRK,79.07983830701565
2025-06-17,sell,1000,MRK,78.82106036722601
2025-07-09,sell,1000,MRK,80.88289676675879
2025-07-10,buy,50637,BIL,89.38132305796745
2025-07-15,sell,100,ABBV,187.3412668032476
2025-07-22,sell,1500,BIL,89.51802825927734
2025-07-22,buy,700,BSX,104.2300033569336
2025-07-24,buy,100,HCA,348.9258430237015
2025-07-25,sell,700,BSX,106.18000030517578
2025-07-29,buy,50,ABBV,186.297256587172
2025-08-07,buy,100,HCA,365.3519331170292
2025-08-18,sell,200,HCA,394.456539314971
2025-08-25,sell,5000,MRK,85.62511600944492
2025-09-09,sell,5000,MRK,82.65018658093072
2025-09-11,sell,49000,BIL,90.0483169555664
2025-09-11,sell,150000,MRK,82.8072770687616
2025-09-12,sell,100000,MRK,83.08219603387838
2025-09-12,sell,582,TMO,487.8049625174284
2025-09-12,buy,39000,HCA,399.2607538521467
2025-09-12,buy,40000,ABBV,215.81524723759972
2025-09-12,buy,27418,BIL,90.06798390019873
2025-09-15,sell,18833,BIL,90.0778258184895
2025-09-18,buy,5000,UNH,341.2357141029858
2025-10-13,sell,1006,BIL,90.35459442791134
2025-10-13,buy,240,HCA,415.63177241605626
2025-10-30,sell,20000,HCA,467.30491938403657
2025-10-30,buy,70000,NVS,122.6500015258789
2025-10-30,buy,5000,PFE,23.495765338066168
2025-11-03,sell,20000,ABBV,214.95054734254023
2025-11-03,buy,108000,PFE,23.76638836160944
2025-11-03,buy,25481,BIL,90.55494689941406
