Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2025-06-24,Buy,6500,RTX,142.30833471919203
2025-06-24,Buy,2000,GLD,305.07000732421875
2025-07-02,Buy,16000,BIL,89.30318450927734
2025-08-06,Buy,800,GE,272.8541748322783
2025-08-06,Buy,800,GEV,645.8849660238154
2025-09-03,Sell,800,GEV,585.6094652564199
2025-09-03,Buy,2500,VRSK,263.99693812425807
2025-09-10,Buy,2500,VRSK,265.69053847148194
2025-10-13,Sell,3000,VRSK,240.92966126613052
2025-10-13,Sell,6000,BIL,90.35459442791134
2025-10-13,Buy,12000,SLV,46.93999862670898
2025-10-22,Sell,2000,VRSK,236.69845623852697
2025-10-22,Buy,3800,GLD,372.75
2025-10-29,Sell,12000,SLV,43.84000015258789
2026-01-27,Buy,87400,SCHNEIDER.NS,605.0
