Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker,Price
2024-06-21,Buy,1000,QQQ,476.56298083013394
2024-09-23,Buy,1000,SRE,79.64821469271244
2024-10-24,Buy,1000,VST,125.02147493563648
2025-02-03,Sell,1000,QQQ,510.8790043064367
2025-04-23,Buy,7000,JXI,68.70534263876111
2025-06-11,Buy,484,SBS,20.559999465942383
2025-07-15,Buy,500,SBS,20.0
2025-08-13,Buy,443,SBS,22.64999961853028
2025-08-20,Buy,2500,BIL,89.81076285736154
2025-08-20,Buy,2867,FPWR,32.54399490356445
2025-09-03,Sell,1000,SRE,81.26618950218905
2025-09-10,Sell,2500,BIL,90.0286618732744
2025-09-10,Buy,3090,SGOV,98.85364532470705
2025-10-01,Sell,100,SGOV,99.09673502276068
2025-10-01,Buy,408,SBS,25.0
2025-10-29,Sell,100,SGOV,99.40278045778716
2025-10-29,Buy,406,SBS,24.84000015258789
2025-11-26,Sell,100,SGOV,99.69788360595705
2025-11-26,Buy,384,SBS,26.5
2025-12-31,Sell,100,SGOV,100.08185559027592
2025-12-31,Buy,424,SBS,24.1200008392334
2026-01-21,Sell,100,SGOV,100.25632466469108
2026-01-21,Buy,436,SBS,24.100000381469727
