Date(YYYY-MM-DD),Action(buy/sell),Number of units,Ticker
2024-05-29,buy,80000,SBUX
2024-08-30,buy,80000,WMT
2024-09-30,buy,80000,PEP
2025-01-07,sell,60000,PEP
2025-03-24,buy,16000,9987.HK
2025-03-24,buy,300000,6862.HK
2025-04-07,buy,9000,PG
2025-06-19,sell,300000,6862.HK
2025-06-19,sell,80000,SBUX
2025-06-19,sell,20000,PEP
2025-06-19,sell,16000,9987.HK
2025-06-26,buy,10000,COST
2025-07-01,sell,9000,PG
2025-07-30,buy,10000,COST
2025-08-18,sell,20000,COST
2025-08-18,sell,80000,WMT
2025-08-18,buy,300000,COCO
2025-08-27,buy,80000,PEP
2025-09-05,buy,100000,MNST
2025-09-22,sell,300000,COCO
2025-10-17,sell,100000,MNST
2025-10-31,sell,80000,PEP
2025-11-18,buy,200000,PM
2025-12-09,buy,200000,YUMC
2025-12-30,sell,200000,YUMC
